requirement_id,scenario,implementation_module,test,evidence_path,status
FUS-AC-001,n/a (architecture),"include/frontends/sonar_target_extractor.hpp (keeps every cluster, not just the strongest)",tests/frontends/sonar_target_extractor_test.cpp,tests/frontends/sonar_target_extractor_test.cpp,verified
FUS-AC-002,n/a (architecture),"include/frontends/cfar_detector.hpp, dbscan.hpp, sonar_cfar_frontend.hpp (versioned config structs)",tests/frontends/*,include/frontends/sonar_cfar_frontend.hpp,verified
FUS-AC-003,n/a (architecture),"include/frontends/sonar_cfar_frontend.hpp (HealthReport: background noise, measurement count, latency)",tests/frontends/*,include/frontends/sonar_cfar_frontend.hpp,implemented
FUS-ACC-001,rov_realtime_nominal,"apps/online_assist_smoke.cpp (fused_tracks>0, real frontends not a counting stub)",tests/integration/online_assist_smoke_test.sh,tests/integration/online_assist_smoke_test.sh,verified
FUS-ACC-002,rov_realtime_minimum+nominal+disturbed+overload,adapters/holoocean/uw_holoocean_adapter/run_report.py,adapters/holoocean/tests/test_run_report.py,adapters/holoocean/uw_holoocean_adapter/run_report.py,implemented
FUS-ACC-003,rov_realtime_nominal+rov_realtime_overload,adapters/holoocean/uw_holoocean_adapter/realtime_gate.py,"n/a (native host, 2h/30min campaigns)",adapters/holoocean/uw_holoocean_adapter/realtime_gate.py,gated
FUS-ACC-004,n/a (architecture),docs/testing-and-verification-guide-2026-08-20.md (MCAP replay does not substitute for online gates),tests/integration/*,tests/integration/live_ingress_smoke_test.sh,implemented
FUS-ARCH-001,n/a (architecture),"measurement_api/{frontend,providers}.hpp interfaces","tests/frontends/*, tests/application/online_assist_pipeline_test.cpp",include/measurement_api/frontend.hpp,verified
FUS-ARCH-002,n/a (architecture),tools/lint/check_layer_dependencies.py,tests/lint/check_layer_dependencies_test.py,tools/lint/check_layer_dependencies.py,verified
FUS-ARCH-003,n/a (architecture),include/application/online_assist_pipeline.hpp consumes CanonicalEvent regardless of source,"tests/application/online_assist_pipeline_test.cpp, apps/online_assist_smoke.cpp",include/runtime/event_source.hpp,verified
FUS-ASSOC-001,n/a (architecture),include/frontends/target_associator.hpp (time+geometry+class+continuity+depth-agreement gating),tests/frontends/target_associator_test.cpp,tests/frontends/target_associator_test.cpp,verified
FUS-ASSOC-002,n/a (architecture),include/frontends/target_associator.hpp (multi-candidate greedy assignment; new/merge/unmatched handling),tests/frontends/target_associator_test.cpp,tests/frontends/target_associator_test.cpp,verified
FUS-ASSOC-003,n/a (architecture),include/frontends/target_associator.hpp (AssociationDecision reason_code + threshold echo),tests/frontends/target_associator_test.cpp,tests/frontends/target_associator_test.cpp,verified
FUS-CAL-001,n/a (architecture),include/frontends/target_associator.hpp (ResolveRigFrames: fails closed on unreachable/cyclic/multi-parent frame trees instead of guessing a path),"tests/frontends/target_associator_test.cpp (FailsClosedForInvalidCovarianceCalibrationAndFrame, RejectsCyclicOrMultiParentRigInsteadOfChoosingAPath)",tests/frontends/target_associator_test.cpp,verified
FUS-CAL-002,n/a (architecture),schemas/proto/uw/domain/calibration.proto (time_offset_seconds/time_offset_provenance/calibration_version) + include/frontends/target_associator.hpp (applies the per-sensor time offset),tests/frontends/target_associator_test.cpp (AppliesRigClockOffsetsAndKeepsUnmatchedSingleSensorMeasurements -- exercises time_offset_seconds; calibration_version/time_offset_provenance themselves are round-tripped by tests/contracts/* but not independently asserted here),tests/frontends/target_associator_test.cpp,implemented
